item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
know_charley,charley,know,85,high_prior,Charley lives in Mexico,block2,0.37,0.79,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4182467609641089,-0.4488416988416988,0.7888803088803089,0.3705019305019305
know_charley,charley,know,88,high_prior,Charley lives in Mexico,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4182467609641089,0.18115830115830123,0.9980694980694981,0.9980694980694981
know_charley,charley,know,209,high_prior,Charley lives in Mexico,block2,1,0.68,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4182467609641089,0.18115830115830123,0.6793050193050194,0.9980694980694981
know_charley,charley,know,213,low_prior,Charley lives in Korea,block2,0.84,0.49,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15783352944802004,0.021158301158301196,0.49003861003861005,0.8386872586872587
know_charley,charley,know,268,low_prior,Charley lives in Korea,block2,0.77,0.64,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15783352944802004,-0.048841698841698755,0.6394594594594595,0.7689575289575289
know_charley,charley,know,515,high_prior,Charley lives in Mexico,block2,0.84,0.77,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4182467609641089,0.021158301158301196,0.7689575289575289,0.8386872586872587
know_charley,charley,know,527,low_prior,Charley lives in Korea,block2,0.76,0.19,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15783352944802004,-0.058841698841698764,0.1911969111969112,0.758996138996139
know_charley,charley,know,535,low_prior,Charley lives in Korea,block2,0.99,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15783352944802004,0.17115830115830122,0.9781467181467182,0.988108108108108
know_charley,charley,know,585,high_prior,Charley lives in Mexico,block2,1,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4182467609641089,0.18115830115830123,0.9781467181467182,0.9980694980694981
know_danny,danny,know,61,low_prior,Danny is a diabetic,block2,0.89,0.88,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17696968925234124,0.07115830115830124,0.8785328185328185,0.8884942084942085
know_danny,danny,know,399,low_prior,Danny is a diabetic,block2,0.94,0.87,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17696968925234124,0.12115830115830117,0.8685714285714285,0.9383011583011582
know_danny,danny,know,413,high_prior,Danny loves cake,block2,0.62,0.6,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26104823648389436,-0.19884169884169878,0.5996138996138995,0.6195366795366796
know_danny,danny,know,415,high_prior,Danny loves cake,block2,0.64,0.31,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26104823648389436,-0.17884169884169876,0.31073359073359075,0.6394594594594595
know_danny,danny,know,440,low_prior,Danny is a diabetic,block2,0.98,0.81,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17696968925234124,0.1611583011583012,0.8088030888030888,0.9781467181467182
know_danny,danny,know,441,high_prior,Danny loves cake,block2,0.64,0.53,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26104823648389436,-0.17884169884169876,0.5298841698841699,0.6394594594594595
know_danny,danny,know,447,high_prior,Danny loves cake,block2,0.76,0.69,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26104823648389436,-0.058841698841698764,0.6892664092664091,0.758996138996139
know_danny,danny,know,479,low_prior,Danny is a diabetic,block2,0.5,0.78,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17696968925234124,-0.3188416988416988,0.778918918918919,0.5
know_danny,danny,know,517,high_prior,Danny loves cake,block2,0.9,0.93,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26104823648389436,0.08115830115830125,0.9283397683397684,0.8984555984555985
know_danny,danny,know,528,low_prior,Danny is a diabetic,block2,0.03000000000000002,0.52,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17696968925234124,-0.7888416988416987,0.5199227799227799,0.03181467181467183
know_emily,emily,know,14,low_prior,Emily never has any money,block2,0.74,0.75,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.2970610153574288,-0.07884169884169878,0.749034749034749,0.739073359073359
know_emily,emily,know,60,low_prior,Emily never has any money,block2,0.51,0.93,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.2970610153574288,-0.30884169884169876,0.9283397683397684,0.50996138996139
know_emily,emily,know,198,low_prior,Emily never has any money,block2,0.98,0.97,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.127454128440367,0.1119684633027523,0.14520756880733943,-0.2970610153574288,0.1611583011583012,0.9681853281853281,0.9781467181467182
