item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
inform_charley,charley,inform,39,low_prior,Charley lives in Korea,block1,1,0.25,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.18184158415841584,0.2716633663366337,0.999009900990099,0.999009900990099
inform_charley,charley,inform,51,high_prior,Charley lives in Mexico,block1,0.96,0.95,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5181584158415842,0.23166336633663365,0.989029702970297,0.959089108910891
inform_charley,charley,inform,62,low_prior,Charley lives in Korea,block2,0.86,0.24,0.51,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.19184158415841585,0.13166336633663367,0.509980198019802,0.8592871287128713
inform_charley,charley,inform,119,high_prior,Charley lives in Mexico,block1,0.8,0.9,0.06,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4681584158415842,0.07166336633663373,0.06087128712871287,0.7994059405940594
inform_charley,charley,inform,131,low_prior,Charley lives in Korea,block1,1,0.5,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.06815841584158416,0.2716633663366337,0.999009900990099,0.999009900990099
inform_charley,charley,inform,138,high_prior,Charley lives in Mexico,block1,0.98,0.82,0.89,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3881584158415841,0.25166336633663366,0.8892277227722772,0.979049504950495
inform_charley,charley,inform,183,low_prior,Charley lives in Korea,block2,0.01,0,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.43184158415841584,-0.7183366336633663,9.900990099009901e-4,0.01097029702970297
inform_charley,charley,inform,205,high_prior,Charley lives in Mexico,block2,1,0.97,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5381584158415842,0.2716633663366337,0.959089108910891,0.999009900990099
inform_charley,charley,inform,220,low_prior,Charley lives in Korea,block2,0.99,0.53,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.09815841584158419,0.2616633663366337,0.9491089108910891,0.989029702970297
inform_charley,charley,inform,229,high_prior,Charley lives in Mexico,block2,0.92,0.7,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.2681584158415841,0.19166336633663372,0.6696633663366337,0.9191683168316832
inform_charley,charley,inform,298,high_prior,Charley lives in Mexico,block2,0.14,0.77,0.8,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3381584158415842,-0.5883366336633663,0.7994059405940594,0.14071287128712873
inform_charley,charley,inform,307,low_prior,Charley lives in Korea,block2,0.96,0.19,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.24184158415841583,0.23166336633663365,0.989029702970297,0.959089108910891
inform_charley,charley,inform,308,high_prior,Charley lives in Mexico,block2,0.75,1,0.68,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5681584158415842,0.021663366336633683,0.6796435643564357,0.7495049504950495
inform_charley,charley,inform,344,low_prior,Charley lives in Korea,block1,1,0.2,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.23184158415841583,0.2716633663366337,0.999009900990099,0.999009900990099
inform_charley,charley,inform,364,low_prior,Charley lives in Korea,block1,0.27,0.54,0.71,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.1081584158415842,-0.4583366336633663,0.7095841584158415,0.2704554455445545
inform_charley,charley,inform,386,low_prior,Charley lives in Korea,block2,0.16000000000000003,0.37,0.52,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.06184158415841584,-0.5683366336633663,0.519960396039604,0.1606732673267327
inform_charley,charley,inform,393,low_prior,Charley lives in Korea,block2,0.98,0.43,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.0018415841584158432,0.25166336633663366,0.969069306930693,0.979049504950495
inform_charley,charley,inform,422,low_prior,Charley lives in Korea,block1,0.4,0.53,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.09815841584158419,-0.3283366336633663,0.6696633663366337,0.4001980198019802
inform_charley,charley,inform,426,high_prior,Charley lives in Mexico,block2,1,1,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5681584158415842,0.2716633663366337,0.8992079207920792,0.999009900990099
inform_charley,charley,inform,480,low_prior,Charley lives in Korea,block1,0.37,0.89,0.4,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.4581584158415842,-0.3583366336633663,0.4001980198019802,0.37025742574257425
inform_charley,charley,inform,525,high_prior,Charley lives in Mexico,block2,0.97,0.99,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5581584158415842,0.24166336633663366,0.979049504950495,0.969069306930693
inform_charley,charley,inform,549,low_prior,Charley lives in Korea,block2,0.69,0.21,0.35,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.22184158415841584,-0.03833663366336637,0.3502970297029703,0.6896237623762376
inform_charley,charley,inform,550,low_prior,Charley lives in Korea,block2,1,0.13,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.30184158415841583,0.2716633663366337,0.999009900990099,0.999009900990099
inform_charley,charley,inform,551,low_prior,Charley lives in Korea,block2,0.51,0.21,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.22184158415841584,-0.2183366336633663,0.979049504950495,0.509980198019802
