item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
establish_charley,charley,establish,57,low_prior,Charley lives in Korea,block1,0.96,0.93,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,0.5618257261410788,0.9282157676348548,0.9582239382239381
establish_charley,charley,establish,63,low_prior,Charley lives in Korea,block1,0.19999999999999996,0.37,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,-0.19817427385892122,0.37053941908713695,0.2011583011583011
establish_charley,charley,establish,64,low_prior,Charley lives in Korea,block1,0.5,0.28,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,0.10182572614107882,0.2809128630705394,0.5
establish_charley,charley,establish,133,low_prior,Charley lives in Korea,block1,1,0.34,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,0.6018257261410789,0.34066390041493777,0.9980694980694981
establish_charley,charley,establish,202,high_prior,Charley lives in Mexico,block1,0.23,0.07,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4216610829151532,-0.16817427385892117,0.07178423236514524,0.23104247104247105
establish_charley,charley,establish,242,high_prior,Charley lives in Mexico,block1,0.9,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4216610829151532,0.5018257261410788,0.9680497925311202,0.8984555984555985
establish_charley,charley,establish,245,low_prior,Charley lives in Korea,block1,0.13,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,-0.2681742738589212,0.9979253112033195,0.13142857142857142
establish_charley,charley,establish,363,high_prior,Charley lives in Mexico,block1,0.13,0.25,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4216610829151532,-0.2681742738589212,0.25103734439834025,0.13142857142857142
establish_charley,charley,establish,375,low_prior,Charley lives in Korea,block1,0.03000000000000002,0.09,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,-0.36817427385892115,0.091701244813278,0.03181467181467183
establish_charley,charley,establish,382,high_prior,Charley lives in Mexico,block1,0.02000000000000001,0.03,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4216610829151532,-0.37817427385892116,0.031950207468879666,0.021853281853281864
establish_charley,charley,establish,386,low_prior,Charley lives in Korea,block1,0.87,0.85,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,0.4718257261410788,0.8485477178423236,0.8685714285714285
establish_charley,charley,establish,406,high_prior,Charley lives in Mexico,block1,0.02000000000000001,0.24,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4216610829151532,-0.37817427385892116,0.24107883817427384,0.021853281853281864
establish_charley,charley,establish,418,low_prior,Charley lives in Korea,block1,0.81,0.04,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,0.4118257261410789,0.041908713692946055,0.8088030888030888
establish_charley,charley,establish,466,high_prior,Charley lives in Mexico,block1,0,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.4216610829151532,-0.3981742738589212,0.002074688796680498,0.0019305019305019305
establish_charley,charley,establish,499,low_prior,Charley lives in Korea,block1,0.16000000000000003,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.15441920749697574,-0.23817427385892115,0.021991701244813276,0.16131274131274134
establish_danny,danny,establish,12,high_prior,Danny loves cake,block1,1,0.81,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26446255843493865,0.6018257261410789,0.8087136929460581,0.9980694980694981
establish_danny,danny,establish,16,low_prior,Danny is a diabetic,block1,0.03000000000000002,0.02,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17355536730129695,-0.36817427385892115,0.021991701244813276,0.03181467181467183
establish_danny,danny,establish,22,low_prior,Danny is a diabetic,block1,0.36,0.08,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17355536730129695,-0.03817427385892119,0.08174273858921162,0.3605405405405405
establish_danny,danny,establish,41,low_prior,Danny is a diabetic,block1,0.14,0.01,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17355536730129695,-0.25817427385892117,0.012033195020746887,0.1413899613899614
establish_danny,danny,establish,70,high_prior,Danny loves cake,block1,0.31000000000000005,0.95,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26446255843493865,-0.08817427385892113,0.9481327800829875,0.3107335907335908
establish_danny,danny,establish,189,low_prior,Danny is a diabetic,block1,0.91,0.13,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17355536730129695,0.5118257261410788,0.13153526970954357,0.9084169884169884
establish_danny,danny,establish,190,high_prior,Danny loves cake,block1,1,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26446255843493865,0.6018257261410789,0.002074688796680498,0.9980694980694981
establish_danny,danny,establish,287,low_prior,Danny is a diabetic,block1,0.99,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17355536730129695,0.5918257261410789,0.002074688796680498,0.988108108108108
establish_danny,danny,establish,294,low_prior,Danny is a diabetic,block1,0.03000000000000002,0.22,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17355536730129695,-0.36817427385892115,0.22116182572614107,0.03181467181467183
establish_danny,danny,establish,365,low_prior,Danny is a diabetic,block1,0.79,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17355536730129695,0.39182572614107886,0.002074688796680498,0.7888803088803089
establish_danny,danny,establish,400,high_prior,Danny loves cake,block1,0.96,0.04,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26446255843493865,0.5618257261410788,0.041908713692946055,0.9582239382239381
establish_danny,danny,establish,462,low_prior,Danny is a diabetic,block1,0.73,0.22,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.17355536730129695,0.3318257261410788,0.22116182572614107,0.7291119691119691
establish_danny,danny,establish,495,high_prior,Danny loves cake,block1,0.65,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.26446255843493865,0.25182572614107884,0.002074688796680498,0.6494208494208494
