item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
demonstrate_charley,charley,demonstrate,53,low_prior,Charley lives in Korea,block2,0.54,0.38,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.08046874999999998,0.016171874999999947,0.021875000000000002,0.5398437500000001
demonstrate_charley,charley,demonstrate,146,low_prior,Charley lives in Korea,block2,0.38,0.13,0.7,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.33046875,-0.14382812500000008,0.69921875,0.38046875
demonstrate_charley,charley,demonstrate,256,high_prior,Charley lives in Mexico,block2,0.99,0.98,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.51953125,0.4661718749999999,0.9880859375,0.9880859375
demonstrate_charley,charley,demonstrate,262,high_prior,Charley lives in Mexico,block2,0.32999999999999996,0.84,0.25,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.37953125,-0.19382812500000013,0.2509765625,0.33066406249999997
demonstrate_charley,charley,demonstrate,263,high_prior,Charley lives in Mexico,block2,0.04000000000000003,0.97,0.06,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.50953125,-0.48382812500000005,0.061718749999999996,0.04179687500000003
demonstrate_charley,charley,demonstrate,339,high_prior,Charley lives in Mexico,block2,0.94,0.86,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.39953125,0.41617187499999986,0.8984375,0.93828125
demonstrate_charley,charley,demonstrate,378,high_prior,Charley lives in Mexico,block2,0.04000000000000003,0.88,0.82,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.41953125,-0.48382812500000005,0.81875,0.04179687500000003
demonstrate_charley,charley,demonstrate,417,high_prior,Charley lives in Mexico,block2,0.86,0.66,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.19953125000000005,0.3361718749999999,0.9582031249999999,0.8585937499999999
demonstrate_charley,charley,demonstrate,433,low_prior,Charley lives in Korea,block2,0.05000000000000004,0.15,0.39,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.31046874999999996,-0.47382812500000004,0.3904296875,0.051757812500000035
demonstrate_charley,charley,demonstrate,469,high_prior,Charley lives in Mexico,block2,0.94,0.64,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.17953125000000003,0.41617187499999986,0.6693359375000001,0.93828125
demonstrate_charley,charley,demonstrate,544,high_prior,Charley lives in Mexico,block2,0,0.98,0.87,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.51953125,-0.5238281250000001,0.8685546875,0.001953125
demonstrate_charley,charley,demonstrate,562,low_prior,Charley lives in Korea,block2,0,0.49,0.52,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.02953125000000001,-0.5238281250000001,0.519921875,0.001953125
demonstrate_danny,danny,demonstrate,143,high_prior,Danny loves cake,block2,1,0.77,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.30953125000000004,0.4761718749999999,0.001953125,0.998046875
