item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
acknowledge_charley,charley,acknowledge,8,low_prior,Charley lives in Korea,block2,1,0.11,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.3176953125,0.370234375,0.998046875,0.998046875
acknowledge_charley,charley,acknowledge,67,high_prior,Charley lives in Mexico,block2,0.03000000000000002,0.81,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3823046875000001,-0.599765625,0.021875000000000002,0.03183593750000002
acknowledge_charley,charley,acknowledge,129,low_prior,Charley lives in Korea,block2,1,0.5,0.02,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.07230468750000002,0.370234375,0.021875000000000002,0.998046875
acknowledge_charley,charley,acknowledge,236,low_prior,Charley lives in Korea,block2,0.86,0.22,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.20769531249999998,0.230234375,0.9083984375,0.8585937499999999
acknowledge_charley,charley,acknowledge,261,high_prior,Charley lives in Mexico,block2,0.94,0.91,0.91,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.48230468750000005,0.31023437499999995,0.9083984375,0.93828125
acknowledge_charley,charley,acknowledge,326,high_prior,Charley lives in Mexico,block2,0.98,0.97,0.93,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5423046874999999,0.350234375,0.9283203125,0.978125
acknowledge_charley,charley,acknowledge,374,low_prior,Charley lives in Korea,block2,0.99,0.48,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.0523046875,0.360234375,0.978125,0.9880859375
acknowledge_charley,charley,acknowledge,444,high_prior,Charley lives in Mexico,block2,0.86,0.82,0.13,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.39230468749999997,0.230234375,0.1314453125,0.8585937499999999
acknowledge_charley,charley,acknowledge,446,high_prior,Charley lives in Mexico,block2,0.17000000000000004,0.49,0.33,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.06230468750000001,-0.45976562499999996,0.3306640625,0.17128906250000003
acknowledge_charley,charley,acknowledge,448,low_prior,Charley lives in Korea,block2,1,0.28,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.14769531249999995,0.370234375,0.001953125,0.998046875
acknowledge_charley,charley,acknowledge,470,low_prior,Charley lives in Korea,block2,0.92,0.33,0.76,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.09769531249999996,0.29023437500000004,0.758984375,0.9183593750000001
