item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
announce_charley,charley,announce,6,low_prior,Charley lives in Korea,block2,1,0.48,0.28,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.05964356435643564,0.4227524752475248,0.28043564356435646,0.999009900990099
announce_charley,charley,announce,38,high_prior,Charley lives in Mexico,block1,0.94,0.92,0.92,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4996435643564357,0.36275247524752474,0.9191683168316832,0.9391287128712871
announce_charley,charley,announce,196,low_prior,Charley lives in Korea,block2,0.92,0.49,0.55,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.06964356435643565,0.34275247524752483,0.54990099009901,0.9191683168316832
announce_charley,charley,announce,233,high_prior,Charley lives in Mexico,block1,0.97,0.42,0.07,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,-3.5643564356435675e-4,0.39275247524752477,0.07085148514851486,0.969069306930693
announce_charley,charley,announce,242,high_prior,Charley lives in Mexico,block2,0.52,0.91,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4896435643564357,-0.05724752475247519,0.5,0.519960396039604
announce_charley,charley,announce,285,high_prior,Charley lives in Mexico,block2,0.46,0.63,0.33,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.20964356435643566,-0.11724752475247519,0.33033663366336635,0.4600792079207921
announce_charley,charley,announce,286,high_prior,Charley lives in Mexico,block2,1,0.86,0.06,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.43964356435643565,0.4227524752475248,0.06087128712871287,0.999009900990099
announce_charley,charley,announce,328,high_prior,Charley lives in Mexico,block2,0.51,1,0.53,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5796435643564357,-0.0672475247524752,0.529940594059406,0.509980198019802
announce_charley,charley,announce,329,high_prior,Charley lives in Mexico,block1,0.77,0.93,0.83,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.5096435643564357,0.1927524752475248,0.8293465346534653,0.7694653465346535
announce_charley,charley,announce,345,high_prior,Charley lives in Mexico,block2,0.87,0.91,0.9,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4896435643564357,0.2927524752475248,0.8992079207920792,0.8692673267326733
