item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,Mean_prior,YMin_prior,YMax_prior,cMean_prior,cai,betaProjective,betaAI
inform_charley,charley,inform,21,high_prior,Charley lives in Mexico,block1,1,0.74,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,0.19894,0.73952,0.999
inform_charley,charley,inform,30,high_prior,Charley lives in Mexico,block2,1,0.81,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,0.19894,0.8093800000000001,0.999
inform_charley,charley,inform,82,low_prior,Charley lives in Korea,block1,0.96,0.96,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.15893999999999997,0.9590799999999999,0.9590799999999999
inform_charley,charley,inform,87,high_prior,Charley lives in Mexico,block1,1,0.53,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,0.19894,0.5299400000000001,0.999
inform_charley,charley,inform,99,high_prior,Charley lives in Mexico,block1,0.28,0.13,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,-0.52106,0.13074000000000002,0.2804400000000001
inform_charley,charley,inform,109,low_prior,Charley lives in Korea,block2,0.47,0.48,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,-0.33106,0.48003999999999997,0.4700599999999999
inform_charley,charley,inform,148,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.19894,0.999,0.999
inform_charley,charley,inform,179,low_prior,Charley lives in Korea,block2,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.19894,0.999,0.999
inform_charley,charley,inform,194,low_prior,Charley lives in Korea,block1,0.7,0.65,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,-0.10106000000000004,0.6497,0.6995999999999999
inform_charley,charley,inform,234,low_prior,Charley lives in Korea,block1,1,0.93,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.19894,0.9291400000000001,0.999
inform_charley,charley,inform,288,high_prior,Charley lives in Mexico,block1,0.12,0.95,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,-0.68106,0.9490999999999999,0.12075999999999999
inform_charley,charley,inform,340,low_prior,Charley lives in Korea,block2,0.6,0.88,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,-0.20106000000000002,0.87924,0.5998
inform_charley,charley,inform,353,low_prior,Charley lives in Korea,block1,0.89,0.5,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.08894000000000002,0.5,0.88922
inform_charley,charley,inform,370,low_prior,Charley lives in Korea,block1,1,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.19894,0.999,0.999
inform_charley,charley,inform,393,high_prior,Charley lives in Mexico,block2,0.97,0.98,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,0.16893999999999998,0.9790399999999999,0.9690599999999999
inform_charley,charley,inform,400,low_prior,Charley lives in Korea,block1,0.98,0.66,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.17894,0.65968,0.9790399999999999
inform_charley,charley,inform,449,high_prior,Charley lives in Mexico,block1,0.99,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,0.18894,0.98902,0.98902
inform_charley,charley,inform,452,low_prior,Charley lives in Korea,block1,0.97,0.94,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.16893999999999998,0.9391199999999998,0.9690599999999999
inform_charley,charley,inform,470,high_prior,Charley lives in Mexico,block2,0.78,0.8,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,-0.021059999999999968,0.7994000000000001,0.77944
inform_charley,charley,inform,490,high_prior,Charley lives in Mexico,block2,0.96,0.78,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,0.15893999999999997,0.77944,0.9590799999999999
inform_charley,charley,inform,503,low_prior,Charley lives in Korea,block2,0.96,0.97,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.15893999999999997,0.9690599999999999,0.9590799999999999
inform_charley,charley,inform,548,high_prior,Charley lives in Mexico,block1,0,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,-0.80106,0.999,0.001
inform_charley,charley,inform,571,high_prior,Charley lives in Mexico,block1,0.96,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.8427619047619047,0.8281089285714286,0.8570238095238095,0.413398261212825,0.15893999999999997,0.999,0.9590799999999999
inform_charley,charley,inform,579,low_prior,Charley lives in Korea,block1,1,0,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.19894,0.001,0.999
inform_charley,charley,inform,586,low_prior,Charley lives in Korea,block2,0.95,0.27,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.2666816143497758,0.2503576233183857,0.28274831838565023,-0.1626820291993039,0.14893999999999996,0.27046000000000003,0.9490999999999999
inform_danny,danny,inform,14,high_prior,Danny loves cake,block2,0.52,0.81,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.6855633802816902,0.6683503521126761,0.7005446009389671,0.2561997367326105,-0.28106,0.8093800000000001,0.5199600000000001
inform_danny,danny,inform,36,low_prior,Danny is a diabetic,block2,1,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.18181818900362512,0.19894,0.001,0.999
inform_danny,danny,inform,39,low_prior,Danny is a diabetic,block1,0.92,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.18181818900362512,0.11894000000000005,0.001,0.9191600000000001
inform_danny,danny,inform,54,low_prior,Danny is a diabetic,block1,0.97,0.86,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,0.24754545454545457,0.228475,0.26735113636363633,-0.18181818900362512,0.16893999999999998,0.8592799999999999,0.9690599999999999
