item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
prove_charley,charley,prove,85,high_prior,Charley lives in Mexico,block2,0.27,1,0.22,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.586796875,-0.1764453125,0.22109375,0.27089843750000003
prove_charley,charley,prove,358,low_prior,Charley lives in Korea,block2,0.5,0.34,0.38,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.07320312499999998,0.053554687499999976,0.38046875,0.5
prove_charley,charley,prove,387,low_prior,Charley lives in Korea,block2,0.42,0.16,0.37,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.253203125,-0.02644531250000004,0.3705078125,0.4203125
prove_charley,charley,prove,535,low_prior,Charley lives in Korea,block2,0.35,0.11,0.2,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.303203125,-0.09644531250000005,0.201171875,0.3505859375
prove_charley,charley,prove,570,high_prior,Charley lives in Mexico,block2,0.64,0.86,0.31,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.446796875,0.1935546875,0.3107421875,0.6394531250000001
prove_charley,charley,prove,589,low_prior,Charley lives in Korea,block2,0.02000000000000001,0.17,0.14,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.243203125,-0.4264453125,0.14140625,0.021875000000000012
prove_danny,danny,prove,30,low_prior,Danny is a diabetic,block2,0.05000000000000004,0.02,0.03,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.393203125,-0.3964453125,0.031835937499999994,0.051757812500000035
prove_danny,danny,prove,44,high_prior,Danny loves cake,block2,0.19999999999999996,0.77,0.21,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.356796875,-0.24644531250000007,0.2111328125,0.20117187499999994
prove_danny,danny,prove,260,high_prior,Danny loves cake,block2,0.5,0.58,0,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factH,Danny ate the last cupcake-factH,0.16679687499999996,0.053554687499999976,0.001953125,0.5
prove_danny,danny,prove,263,low_prior,Danny is a diabetic,block2,0.05000000000000004,0.04,0.04,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.373203125,-0.3964453125,0.041796875000000004,0.051757812500000035
prove_danny,danny,prove,307,low_prior,Danny is a diabetic,block2,0.98,0.19,0.04,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.223203125,0.5335546874999999,0.041796875000000004,0.978125
prove_danny,danny,prove,352,low_prior,Danny is a diabetic,block2,0.08999999999999997,0.17,0.04,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.243203125,-0.35644531250000006,0.041796875000000004,0.09160156249999997
prove_danny,danny,prove,557,low_prior,Danny is a diabetic,block2,1,0.2,0.08,11: Danny ate the last cupcake,Danny ate the last cupcake,Danny ate the last cupcake,factL,Danny ate the last cupcake-factL,-0.213203125,0.5535546874999999,0.08164062500000001,0.998046875
prove_emily,emily,prove,10,high_prior,Emily has been saving for a year,block2,0.11,0.52,0.07,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.10679687500000001,-0.33644531250000004,0.0716796875,0.1115234375
prove_emily,emily,prove,79,high_prior,Emily has been saving for a year,block2,0.39,0.26,0.24,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,-0.153203125,-0.05644531250000001,0.24101562499999998,0.3904296875
prove_emily,emily,prove,134,high_prior,Emily has been saving for a year,block2,0.01,0.58,0.02,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factH,Emily bought a car yesterday-factH,0.16679687499999996,-0.4364453125,0.021875000000000002,0.011914062500000001
prove_emily,emily,prove,135,low_prior,Emily never has any money,block2,0.99,0.49,0.41,8: Emily bought a car yesterday,Emily bought a car yesterday,Emily bought a car yesterday,factL,Emily bought a car yesterday-factL,0.07679687499999999,0.5435546874999999,0.4103515625,0.9880859375
