item,content,short_trigger,workerid,prior_type,prior_fact,block_ai,ai,prior,projective,eventItemNr,eventItem,contentNew,prior_typeNew,contentFact,cprior,cai,betaProjective,betaAI
inform_charley,charley,inform,39,low_prior,Charley lives in Korea,block1,1,0.25,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.20666666666666667,0.27963855421686745,0.9979919678714859,0.998046875
inform_charley,charley,inform,51,high_prior,Charley lives in Mexico,block1,0.96,0.95,0.99,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.4933333333333333,0.23963855421686742,0.9880321285140563,0.9582031249999999
inform_charley,charley,inform,119,high_prior,Charley lives in Mexico,block1,0.8,0.9,0.06,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.44333333333333336,0.0796385542168675,0.06176706827309236,0.798828125
inform_charley,charley,inform,131,low_prior,Charley lives in Korea,block1,1,0.5,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.043333333333333335,0.27963855421686745,0.9979919678714859,0.998046875
inform_charley,charley,inform,138,high_prior,Charley lives in Mexico,block1,0.98,0.82,0.89,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.3633333333333333,0.25963855421686743,0.8884337349397591,0.978125
inform_charley,charley,inform,344,low_prior,Charley lives in Korea,block1,1,0.2,1,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,-0.25666666666666665,0.27963855421686745,0.9979919678714859,0.998046875
inform_charley,charley,inform,364,low_prior,Charley lives in Korea,block1,0.27,0.54,0.71,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.08333333333333337,-0.45036144578313253,0.7091566265060241,0.27089843750000003
inform_charley,charley,inform,422,low_prior,Charley lives in Korea,block1,0.4,0.53,0.67,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.07333333333333336,-0.3203614457831325,0.6693172690763052,0.400390625
inform_charley,charley,inform,480,low_prior,Charley lives in Korea,block1,0.37,0.89,0.4,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factL,Charley speaks Spanish-factL,0.43333333333333335,-0.35036144578313255,0.4004016064257028,0.3705078125
inform_charley,charley,inform,553,high_prior,Charley lives in Mexico,block1,0.87,0.77,0.88,20: Charley speaks Spanish,Charley speaks Spanish,Charley speaks Spanish,factH,Charley speaks Spanish-factH,0.31333333333333335,0.14963855421686745,0.8784738955823294,0.8685546875
